date,d-4,d-3,d-2,d-1,real,cate
2021-10-10,144.2,141.7,145.3,147.9,148.1,0
2021-10-11,141.7,145.3,147.9,148.1,151.5,2
2021-10-12,145.3,147.9,148.1,151.5,151.5,0
2021-10-13,147.9,148.1,151.5,151.5,151.5,0
2021-10-14,148.1,151.5,151.5,151.5,149.1,1
2021-10-15,151.5,151.5,151.5,149.1,151.3,2
2021-10-16,151.5,151.5,149.1,151.3,156.2,2
2021-10-17,151.5,149.1,151.3,156.2,158.5,2
2021-10-18,149.1,151.3,156.2,158.5,160.9,2
2021-10-19,151.3,156.2,158.5,160.9,160.9,0
2021-10-20,156.2,158.5,160.9,160.9,160.9,0
2021-10-21,158.5,160.9,160.9,160.9,163.0,2
2021-10-22,160.9,160.9,160.9,163.0,162.5,0
2021-10-23,160.9,160.9,163.0,162.5,164.7,2
2021-10-24,160.9,163.0,162.5,164.7,166.3,2
2021-10-25,163.0,162.5,164.7,166.3,166.8,0
2021-10-26,162.5,164.7,166.3,166.8,166.8,0
2021-10-27,164.7,166.3,166.8,166.8,166.8,0
2021-10-28,166.3,166.8,166.8,166.8,166.4,0
2021-10-29,166.8,166.8,166.8,166.4,166.8,0
2021-10-30,166.8,166.8,166.4,166.8,158.3,1
2021-10-31,166.8,166.4,166.8,158.3,158.9,0
2021-11-01,166.4,166.8,158.3,158.9,156.2,1
2021-11-02,166.8,158.3,158.9,156.2,156.2,0
2021-11-03,158.3,158.9,156.2,156.2,156.2,0
2021-11-04,158.9,156.2,156.2,156.2,157.7,2
2021-11-05,156.2,156.2,156.2,157.7,156.8,0
2021-11-06,156.2,156.2,157.7,156.8,159.6,2
2021-11-07,156.2,157.7,156.8,159.6,159.2,0
2021-11-08,157.7,156.8,159.6,159.2,159.5,0
2021-11-09,156.8,159.6,159.2,159.5,159.5,0
2021-11-10,159.6,159.2,159.5,159.5,159.5,0
2021-11-11,159.2,159.5,159.5,159.5,161.1,2
2021-11-12,159.5,159.5,159.5,161.1,161.9,0
2021-11-13,159.5,159.5,161.1,161.9,161.1,0
2021-11-14,159.5,161.1,161.9,161.1,158.3,1
2021-11-15,161.1,161.9,161.1,158.3,158.8,0
2021-11-16,161.9,161.1,158.3,158.8,158.8,0
2021-11-17,161.1,158.3,158.8,158.8,158.8,0
2021-11-18,158.3,158.8,158.8,158.8,160.1,2
2021-11-19,158.8,158.8,158.8,160.1,160.0,0
2021-11-20,158.8,158.8,160.1,160.0,161.4,2
2021-11-21,158.8,160.1,160.0,161.4,162.9,2
2021-11-22,160.1,160.0,161.4,162.9,159.6,1
2021-11-23,160.0,161.4,162.9,159.6,159.6,0
2021-11-24,161.4,162.9,159.6,159.6,159.6,0
2021-11-25,162.9,159.6,159.6,159.6,159.9,0
2021-11-26,159.6,159.6,159.6,159.9,157.6,1
2021-11-27,159.6,159.6,159.9,157.6,157.2,0
2021-11-28,159.6,159.9,157.6,157.2,155.8,1
2021-11-29,159.9,157.6,157.2,155.8,154.6,1
2021-11-30,157.6,157.2,155.8,154.6,154.6,0
2021-12-01,157.2,155.8,154.6,154.6,154.6,0
2021-12-02,155.8,154.6,154.6,154.6,158.9,2
2021-12-03,154.6,154.6,154.6,158.9,161.1,2
2021-12-04,154.6,154.6,158.9,161.1,159.4,1
2021-12-05,154.6,158.9,161.1,159.4,160.0,0
2021-12-06,158.9,161.1,159.4,160.0,159.3,0
2021-12-07,161.1,159.4,160.0,159.3,159.3,0
2021-12-08,159.4,160.0,159.3,159.3,159.3,0
2021-12-09,160.0,159.3,159.3,159.3,158.6,0
2021-12-10,159.3,159.3,159.3,158.6,155.7,1
2021-12-11,159.3,159.3,158.6,155.7,160.8,2
2021-12-12,159.3,158.6,155.7,160.8,160.4,0
2021-12-13,158.6,155.7,160.8,160.4,158.6,1
2021-12-14,155.7,160.8,160.4,158.6,158.6,0
2021-12-15,160.8,160.4,158.6,158.6,158.6,0
2021-12-16,160.4,158.6,158.6,158.6,159.8,2
2021-12-17,158.6,158.6,158.6,159.8,161.5,2
2021-12-18,158.6,158.6,159.8,161.5,165.0,2
2021-12-19,158.6,159.8,161.5,165.0,166.9,2
2021-12-20,159.8,161.5,165.0,166.9,166.9,0
2021-12-21,161.5,165.0,166.9,166.9,166.9,0
2021-12-22,165.0,166.9,166.9,166.9,166.9,0
2021-12-23,166.9,166.9,166.9,166.9,166.9,0
2021-12-24,166.9,166.9,166.9,166.9,167.4,0
2021-12-25,166.9,166.9,166.9,167.4,168.1,0
2021-12-26,166.9,166.9,167.4,168.1,167.9,0
2021-12-27,166.9,167.4,168.1,167.9,167.9,0
2021-12-28,167.4,168.1,167.9,167.9,167.9,0
2021-12-29,168.1,167.9,167.9,167.9,167.9,0
2021-12-30,167.9,167.9,167.9,167.9,172.3,2
2021-12-31,167.9,167.9,167.9,172.3,172.9,0
2022-01-01,167.9,167.9,172.3,172.9,166.0,1
2022-01-02,167.9,172.3,172.9,166.0,164.6,1
2022-01-03,172.3,172.9,166.0,164.6,164.8,0
2022-01-04,172.9,166.0,164.6,164.8,164.8,0
2022-01-05,166.0,164.6,164.8,164.8,164.8,0
2022-01-06,164.6,164.8,164.8,164.8,164.5,0
2022-01-07,164.8,164.8,164.8,164.5,160.0,1
2022-01-08,164.8,164.8,164.5,160.0,159.4,0
2022-01-09,164.8,164.5,160.0,159.4,158.9,0
2022-01-10,164.5,160.0,159.4,158.9,157.2,1
2022-01-11,160.0,159.4,158.9,157.2,157.2,0
2022-01-12,159.4,158.9,157.2,157.2,157.2,0
2022-01-13,158.9,157.2,157.2,157.2,155.3,1
2022-01-14,157.2,157.2,157.2,155.3,152.5,1
2022-01-15,157.2,157.2,155.3,152.5,151.3,1
2022-01-16,157.2,155.3,152.5,151.3,152.7,2
2022-01-17,155.3,152.5,151.3,152.7,150.5,1
2022-01-18,152.5,151.3,152.7,150.5,150.5,0
2022-01-19,151.3,152.7,150.5,150.5,150.5,0
2022-01-20,152.7,150.5,150.5,150.5,151.5,0
2022-01-21,150.5,150.5,150.5,151.5,149.8,1
2022-01-22,150.5,150.5,151.5,149.8,151.1,2
2022-01-23,150.5,151.5,149.8,151.1,152.9,2
2022-01-24,151.5,149.8,151.1,152.9,154.5,2
2022-01-25,149.8,151.1,152.9,154.5,154.5,0
2022-01-26,151.1,152.9,154.5,154.5,154.5,0
2022-01-27,152.9,154.5,154.5,154.5,155.5,0
2022-01-28,154.5,154.5,154.5,155.5,151.7,1
2022-01-29,154.5,154.5,155.5,151.7,153.5,2
2022-01-30,154.5,155.5,151.7,153.5,149.6,1
2022-01-31,155.5,151.7,153.5,149.6,149.0,0
2022-02-01,151.7,153.5,149.6,149.0,149.0,0
2022-02-02,153.5,149.6,149.0,149.0,149.0,0
2022-02-03,149.6,149.0,149.0,149.0,148.3,0
2022-02-04,149.0,149.0,149.0,148.3,146.4,1
2022-02-05,149.0,149.0,148.3,146.4,150.0,2
2022-02-06,149.0,148.3,146.4,150.0,144.1,1
2022-02-07,148.3,146.4,150.0,144.1,143.0,1
2022-02-08,146.4,150.0,144.1,143.0,143.0,0
2022-02-09,150.0,144.1,143.0,143.0,143.0,0
2022-02-10,144.1,143.0,143.0,143.0,138.9,1
2022-02-11,143.0,143.0,143.0,138.9,141.2,2
2022-02-12,143.0,143.0,138.9,141.2,142.0,0
2022-02-13,143.0,138.9,141.2,142.0,142.3,0
2022-02-14,138.9,141.2,142.0,142.3,139.7,1
2022-02-15,141.2,142.0,142.3,139.7,139.7,0
2022-02-16,142.0,142.3,139.7,139.7,139.7,0
2022-02-17,142.3,139.7,139.7,139.7,138.0,1
2022-02-18,139.7,139.7,139.7,138.0,136.3,1
2022-02-19,139.7,139.7,138.0,136.3,132.7,1
2022-02-20,139.7,138.0,136.3,132.7,142.7,2
2022-02-21,138.0,136.3,132.7,142.7,148.1,2
